ride_date,city,total_rides,completed_rides,cancelled_rides,total_revenue,avg_distance_km,avg_fare
2023-10-31,Bangalore,13,12,0,1765.01,7.01,135.77
2024-04-16,Chennai,12,8,0,1109.31,6.1,92.44
2023-02-07,Delhi,5,3,0,199.29,3.64,39.86
2025-03-18,Hyderabad,6,3,0,301.95,3.54,50.33
2025-10-21,Delhi,6,5,0,346.44,5.39,57.74
2025-02-19,Chennai,11,9,0,1271.48,7.0,115.59
2025-06-26,Chennai,12,12,0,1923.52,9.88,160.29
2025-03-11,Chennai,11,10,0,1607.29,8.7,146.12
2025-01-25,Delhi,8,6,0,438.1,5.48,54.76
2025-05-17,Chennai,8,6,0,893.87,6.08,111.73
2024-08-05,Chennai,10,10,0,1652.09,10.07,165.21
2023-08-08,Delhi,10,7,0,586.0,5.86,58.6
2023-10-09,Hyderabad,9,7,0,841.33,6.75,93.48
2024-04-03,Mumbai,8,7,0,806.37,7.5,100.8
2023-09-23,Hyderabad,11,8,0,858.23,6.1,78.02
2024-04-23,Hyderabad,13,10,0,954.31,5.31,73.41
2024-08-14,Mumbai,8,6,0,615.3,5.92,76.91
2023-03-29,Chennai,8,6,0,823.74,6.59,102.97
2025-10-03,Delhi,7,7,0,523.8,7.48,74.83
2025-09-30,Bangalore,13,12,0,1787.5,7.34,137.5
2024-08-30,Delhi,8,5,0,544.27,5.9,68.03
2024-06-08,Bangalore,7,6,0,889.74,6.64,127.11
2025-02-02,Delhi,8,4,0,418.11,4.86,52.26
2024-04-15,Mumbai,11,9,0,1154.58,7.53,104.96
2023-03-25,Hyderabad,12,10,0,1043.28,6.79,86.94
2025-05-12,Hyderabad,10,8,0,717.71,5.41,71.77
2023-06-26,Delhi,9,5,0,266.4,2.59,29.6
2024-08-23,Hyderabad,11,9,0,1034.08,7.41,94.01
2023-11-28,Delhi,11,8,0,797.28,7.01,72.48
2024-02-17,Chennai,10,9,0,984.47,5.94,98.45
2025-11-24,Bangalore,11,10,0,1092.21,5.75,99.29
2024-01-20,Hyderabad,12,11,0,1038.58,6.33,86.55
2023-07-18,Chennai,7,6,0,779.94,6.57,111.42
2024-03-17,Delhi,11,9,0,854.43,7.08,77.68
2024-09-08,Delhi,12,8,0,646.66,5.27,53.89
2025-09-11,Bangalore,5,4,0,844.57,9.01,168.91
2023-01-29,Hyderabad,5,5,0,485.68,8.23,97.14
2024-03-17,Bangalore,9,9,0,1347.15,7.85,149.68
2023-02-23,Delhi,6,5,0,307.43,4.78,51.24
2024-04-20,Mumbai,11,9,0,879.3,5.79,79.94
2025-02-21,Hyderabad,10,7,0,768.13,5.41,76.81
2024-08-12,Bangalore,9,9,0,1410.05,8.31,156.67
2023-02-26,Delhi,10,6,0,573.0,5.48,57.3
2023-04-12,Delhi,7,4,0,261.1,3.73,37.3
2023-04-08,Bangalore,10,8,0,986.11,5.25,98.61
2023-01-08,Mumbai,8,6,0,504.51,4.89,63.06
2024-02-20,Mumbai,11,7,0,755.25,5.18,68.66
2024-06-14,Chennai,11,9,0,1243.37,7.21,113.03
2024-09-14,Hyderabad,10,8,0,839.94,6.55,83.99
2025-12-12,Mumbai,5,4,0,500.61,7.47,100.12
2024-12-04,Delhi,8,6,0,591.4,7.39,73.93
2023-09-21,Chennai,10,8,0,996.52,6.09,99.65
2025-10-17,Mumbai,16,12,0,1128.96,5.33,70.56
2025-03-24,Bangalore,6,5,0,479.4,4.13,79.9
2025-07-20,Bangalore,7,7,0,1166.19,9.15,166.6
2023-05-28,Delhi,13,8,0,744.26,5.5,57.25
2025-07-28,Mumbai,10,5,0,492.48,3.5,49.25
2025-01-14,Delhi,12,10,0,1192.41,8.71,99.37
2025-02-27,Bangalore,6,5,0,632.82,5.54,105.47
2023-12-09,Mumbai,10,5,0,394.11,2.89,39.41
2025-05-20,Bangalore,6,6,0,793.2,6.61,132.2
2025-10-13,Delhi,8,6,0,513.4,6.42,64.18
2024-06-23,Bangalore,12,11,0,1817.26,8.11,151.44
2025-06-14,Delhi,9,6,0,516.33,5.12,57.37
2025-08-09,Hyderabad,12,9,0,953.47,6.51,79.46
2025-01-17,Mumbai,13,10,0,1273.8,7.45,97.98
2025-11-07,Delhi,13,9,0,706.2,5.43,54.32
2025-11-03,Bangalore,12,12,0,1707.59,7.74,142.3
2023-01-01,Hyderabad,12,10,0,1128.33,7.19,94.03
2025-11-08,Mumbai,9,7,0,510.63,4.02,56.74
2025-02-07,Delhi,12,7,0,475.96,3.64,39.66
2025-05-02,Bangalore,8,8,0,1394.95,9.22,174.37
2024-08-01,Delhi,9,7,0,836.54,7.97,92.95
2025-04-28,Delhi,10,6,0,417.7,4.18,41.77
2025-03-05,Hyderabad,5,3,0,397.77,5.94,79.55
2023-11-22,Bangalore,12,11,0,2091.87,9.35,174.32
2024-05-19,Mumbai,10,9,0,966.42,7.1,96.64
2024-01-23,Delhi,10,7,0,513.7,5.14,51.37
2023-06-09,Mumbai,9,8,0,712.17,6.2,79.13
2023-04-15,Delhi,6,5,0,452.03,6.79,75.34
2025-10-30,Chennai,6,5,0,633.39,7.01,105.57
2025-11-29,Hyderabad,13,9,0,733.53,4.8,56.43
2025-06-23,Chennai,7,7,0,686.24,5.99,98.03
2025-04-22,Bangalore,9,8,0,895.39,5.37,99.49
2023-03-30,Bangalore,11,10,0,1552.99,7.3,141.18
2025-02-12,Hyderabad,10,9,0,1098.51,8.94,109.85
2024-04-12,Hyderabad,10,7,0,544.77,4.66,54.48
2024-05-03,Bangalore,5,5,0,716.27,7.47,143.25
2025-06-24,Hyderabad,8,7,0,530.35,5.09,66.29
2023-07-12,Delhi,6,4,0,339.0,5.65,56.5
2025-02-17,Chennai,15,14,0,2095.84,8.13,139.72
2025-05-02,Delhi,9,5,0,456.9,5.08,50.77
2025-10-24,Bangalore,8,8,0,900.45,5.79,112.56
2024-09-07,Hyderabad,19,13,0,1465.35,5.8,77.12
2025-01-11,Hyderabad,14,10,0,949.19,5.26,67.8
2023-12-18,Chennai,8,8,0,1142.26,9.52,142.78
2025-10-05,Chennai,7,7,0,923.14,7.47,131.88
2025-09-13,Bangalore,6,6,0,919.61,7.89,153.27
2025-03-07,Bangalore,7,6,0,1140.19,8.95,162.88
2025-07-22,Bangalore,8,8,0,1484.33,9.95,185.54
2023-12-09,Delhi,7,6,0,496.3,7.09,70.9
2024-04-10,Mumbai,6,4,0,354.6,4.18,59.1
2023-04-14,Chennai,10,10,0,1342.74,8.19,134.27
2024-02-09,Mumbai,11,6,0,521.34,3.37,47.39
2025-06-16,Bangalore,8,8,0,1410.88,9.1,176.36
2024-08-26,Chennai,7,6,0,956.86,7.83,136.69
2024-02-25,Bangalore,9,7,0,831.48,4.94,92.39
2024-10-24,Mumbai,8,5,0,601.5,5.11,75.19
2025-06-09,Mumbai,10,3,0,242.58,1.73,24.26
2023-02-14,Hyderabad,10,9,0,1054.05,7.52,105.41
2025-05-12,Delhi,11,5,0,452.0,4.11,41.09
2024-01-14,Delhi,14,10,0,969.8,6.93,69.27
2024-06-16,Bangalore,13,12,0,1771.88,7.26,136.3
2025-04-17,Chennai,7,7,0,991.5,8.1,141.64
2025-10-30,Delhi,14,9,0,629.5,4.5,44.96
2024-10-24,Bangalore,7,7,0,914.12,7.07,130.59
2024-02-09,Bangalore,8,8,0,1268.78,8.39,158.6
2025-06-10,Bangalore,10,10,0,1383.91,7.4,138.39
2025-03-29,Hyderabad,13,11,0,1501.2,8.5,115.48
2023-08-23,Chennai,10,8,0,943.14,5.81,94.31
2023-02-08,Chennai,10,7,0,943.43,5.47,94.34
2025-12-08,Chennai,10,9,0,1181.36,7.58,118.14
2024-06-03,Chennai,12,12,0,1446.62,7.47,120.55
2024-08-07,Hyderabad,12,5,0,435.19,3.0,36.27
2025-01-29,Delhi,14,10,0,658.07,4.57,47.01
2026-01-01,Hyderabad,17,13,0,1037.0,4.75,61.0
2025-08-25,Mumbai,9,8,0,723.54,6.12,80.39
2023-05-09,Chennai,8,8,0,1002.38,7.09,125.3
2024-11-17,Hyderabad,8,5,0,465.89,4.26,58.24
2025-02-22,Hyderabad,8,6,0,605.25,6.19,75.66
2024-05-26,Chennai,14,12,0,1697.62,7.4,121.26
2025-12-07,Bangalore,8,7,0,1035.14,6.59,129.39
2025-05-04,Bangalore,10,10,0,1617.2,8.09,161.72
2024-02-11,Mumbai,9,5,0,561.09,4.39,62.34
2023-05-03,Chennai,10,10,0,1372.33,8.61,137.23
2024-08-29,Delhi,17,8,0,694.1,4.08,40.83
2025-07-21,Hyderabad,4,2,0,237.17,4.7,59.29
2024-01-06,Bangalore,9,8,0,1175.48,6.97,130.61
2024-02-28,Chennai,10,10,0,1428.2,8.55,142.82
2025-09-19,Chennai,4,3,0,493.89,7.08,123.47
2025-07-15,Chennai,6,6,0,837.59,8.41,139.6
2025-01-24,Hyderabad,7,4,0,534.45,6.25,76.35
2025-09-07,Mumbai,10,5,0,523.65,3.49,52.37
2024-01-30,Bangalore,6,5,0,853.56,7.66,142.26
2024-10-05,Bangalore,8,5,0,776.53,5.23,97.07
2025-12-31,Hyderabad,12,10,0,1164.47,7.53,97.04
2023-07-04,Mumbai,8,5,0,541.44,4.71,67.68
2024-05-13,Hyderabad,9,5,0,591.78,5.44,65.75
2024-01-01,Mumbai,6,4,0,390.36,4.56,65.06
2023-11-22,Mumbai,8,7,0,916.56,7.99,114.57
2023-01-11,Bangalore,6,6,0,1239.78,10.93,206.63
2024-02-26,Bangalore,12,9,0,1458.62,6.24,121.55
2024-08-18,Hyderabad,8,6,0,524.28,5.7,65.54
2025-03-17,Bangalore,8,7,0,780.52,5.58,97.57
2023-08-31,Mumbai,6,5,0,509.52,6.92,84.92
2025-12-02,Mumbai,6,4,0,539.67,7.06,89.95
2024-04-27,Bangalore,9,7,0,1159.07,6.66,128.79
2023-03-18,Delhi,4,3,0,362.77,8.16,90.69
2023-09-06,Chennai,7,6,0,1000.93,8.44,142.99
2025-09-03,Delhi,7,6,0,470.76,6.44,67.25
2023-05-22,Mumbai,13,6,0,774.69,4.43,59.59
2023-12-12,Bangalore,12,11,0,1668.43,7.78,139.04
2025-08-06,Mumbai,14,9,0,922.29,4.67,65.88
2025-08-24,Bangalore,8,7,0,1082.93,7.1,135.37
2025-03-02,Delhi,8,3,0,310.2,3.88,38.78
2024-06-26,Delhi,8,7,0,657.9,8.22,82.24
2025-04-23,Bangalore,13,12,0,1519.83,6.14,116.91
2024-07-09,Mumbai,8,5,0,725.01,6.48,90.63
2025-10-10,Mumbai,7,6,0,701.61,7.48,100.23
2023-03-04,Hyderabad,3,2,0,172.05,4.99,57.35
2024-01-12,Chennai,14,14,0,1771.08,7.56,126.51
2024-07-06,Bangalore,12,9,0,1622.68,7.2,135.22
2024-11-15,Hyderabad,13,12,0,1457.8,8.58,112.14
2024-06-26,Hyderabad,14,12,0,1215.05,6.88,86.79
2025-08-17,Chennai,11,9,0,917.92,5.31,83.45
2025-04-30,Chennai,6,6,0,881.17,8.83,146.86
2024-08-08,Delhi,13,5,0,422.4,3.25,32.49
2025-04-14,Bangalore,9,8,0,1371.16,8.44,152.35
2023-12-26,Hyderabad,4,3,0,327.98,7.13,82.0
2023-01-29,Bangalore,9,7,0,766.85,4.6,85.21
2023-02-20,Chennai,7,5,0,690.25,5.84,98.61
2023-05-12,Bangalore,16,15,0,2365.37,8.32,147.84
2023-05-25,Bangalore,3,3,0,408.25,7.34,136.08
2025-06-18,Bangalore,9,9,0,1219.94,7.32,135.55
2025-09-18,Hyderabad,9,7,0,800.86,6.77,88.98
2024-07-11,Delhi,13,11,0,1084.64,8.09,83.43
2024-09-04,Bangalore,10,9,0,1124.84,6.25,112.48
2025-12-14,Delhi,17,8,0,700.6,4.12,41.21
2025-02-14,Chennai,6,5,0,574.75,5.75,95.79
2025-01-23,Mumbai,12,7,0,656.1,4.11,54.68
2025-10-28,Delhi,6,5,0,373.12,5.96,62.19
2025-01-05,Bangalore,11,7,0,870.77,4.56,79.16
2025-05-23,Mumbai,12,7,0,633.0,3.91,52.75
2025-02-21,Mumbai,7,5,0,372.42,4.08,53.2
2025-11-07,Chennai,9,8,0,970.1,6.66,107.79
2023-06-23,Delhi,5,2,0,165.1,3.3,33.02
2023-05-02,Delhi,10,6,0,404.3,4.04,40.43
2024-04-14,Bangalore,3,3,0,312.52,5.84,104.17
2025-11-10,Mumbai,5,4,0,442.74,6.44,88.55
2024-07-18,Hyderabad,8,6,0,736.04,6.84,92.01
2023-06-06,Delhi,6,4,0,330.8,5.51,55.13
2024-05-24,Hyderabad,8,8,0,987.25,9.09,123.41
2023-01-28,Delhi,7,6,0,344.63,4.82,49.23
2024-02-21,Bangalore,9,8,0,1430.43,8.79,158.94
2024-05-02,Mumbai,12,9,0,987.66,6.0,82.31
2025-05-29,Chennai,9,7,0,703.36,4.88,78.15
2025-10-22,Chennai,10,8,0,1137.04,6.79,113.7
2023-10-04,Mumbai,10,5,0,465.3,3.3,46.53
2024-01-07,Chennai,11,10,0,1081.42,6.04,98.31
2023-10-18,Delhi,8,6,0,538.7,6.73,67.34
2025-02-27,Hyderabad,11,8,0,841.78,5.41,76.53
2023-07-19,Hyderabad,8,6,0,787.6,7.72,98.45
2024-06-01,Mumbai,11,6,0,881.25,5.58,80.11
2025-03-29,Bangalore,6,6,0,703.66,6.83,117.28
2024-05-17,Bangalore,10,9,0,1299.75,6.81,129.98
2025-04-15,Delhi,13,9,0,691.74,4.86,53.21
2025-02-14,Mumbai,9,7,0,890.76,7.06,98.97
2024-10-20,Chennai,11,10,0,1919.49,10.09,174.5
2023-11-19,Chennai,4,4,0,568.0,8.69,142.0
2023-09-15,Hyderabad,12,11,0,1137.73,7.46,94.81
2023-10-11,Chennai,15,15,0,1813.68,6.91,120.91
2025-12-05,Delhi,9,6,0,653.05,6.9,72.56
2025-09-22,Delhi,5,2,0,261.69,4.03,52.34
2024-11-30,Mumbai,7,7,0,653.43,7.04,93.35
2025-02-13,Chennai,12,11,0,991.09,5.35,82.59
2025-01-22,Mumbai,9,7,0,655.92,5.04,72.88
2025-01-27,Chennai,10,10,0,1299.82,8.0,129.98
2024-03-20,Chennai,14,12,0,1590.71,6.98,113.62
2025-02-12,Delhi,15,9,0,779.8,5.2,51.99
2026-01-16,Chennai,11,9,0,1153.45,6.12,104.86
2024-12-03,Mumbai,11,5,0,505.92,3.33,45.99
2025-04-15,Hyderabad,11,7,0,764.61,5.49,69.51
2023-04-26,Bangalore,10,9,0,1330.51,7.13,133.05
2024-10-04,Mumbai,9,8,0,1007.34,8.19,111.93
2024-03-19,Hyderabad,16,13,0,945.67,4.49,59.1
2023-10-09,Bangalore,12,10,0,1783.24,7.76,148.6
2024-10-01,Bangalore,7,7,0,797.24,5.99,113.89
2025-06-27,Bangalore,7,7,0,853.98,6.73,122.0
2024-06-07,Mumbai,8,6,0,601.74,5.34,75.22
2024-03-09,Mumbai,13,8,0,782.7,4.58,60.21
2023-03-28,Mumbai,9,6,0,874.95,7.09,97.22
2025-07-15,Mumbai,9,9,0,884.04,7.25,98.23
2024-10-27,Mumbai,12,8,0,982.71,6.09,81.89
2025-04-04,Delhi,6,5,0,337.7,5.63,56.28
2023-02-04,Bangalore,13,12,0,1777.25,7.57,136.71
2023-04-21,Mumbai,13,8,0,703.74,3.93,54.13
2023-10-05,Hyderabad,10,7,0,957.79,6.78,95.78
2023-06-01,Delhi,6,6,0,496.35,8.17,82.73
2023-09-25,Hyderabad,7,6,0,532.7,6.11,76.1
2025-08-07,Hyderabad,13,12,0,1426.59,8.51,109.74
2023-06-04,Delhi,9,5,0,511.1,5.68,56.79
2025-08-27,Mumbai,12,8,0,954.6,6.18,79.55
2025-08-06,Delhi,7,5,0,408.02,4.71,58.29
2024-02-07,Bangalore,7,5,0,594.6,4.43,84.94
2025-05-31,Chennai,8,5,0,648.33,4.95,81.04
2023-04-08,Chennai,8,8,0,1335.65,10.4,166.96
2024-03-07,Delhi,9,3,0,253.2,2.81,28.13
2023-06-18,Chennai,11,10,0,1172.17,7.07,106.56
2024-10-10,Chennai,15,12,0,1805.35,7.86,120.36
2024-05-07,Delhi,11,6,0,514.4,4.68,46.76
2024-11-14,Delhi,13,11,0,866.5,6.67,66.65
2025-11-05,Chennai,10,9,0,1359.01,8.31,135.9
2023-08-19,Bangalore,8,7,0,1094.62,6.97,136.83
2025-10-07,Hyderabad,8,6,0,701.17,6.89,87.65
2024-10-08,Delhi,10,5,0,372.5,3.73,37.25
2023-09-29,Delhi,10,6,0,588.32,5.79,58.83
2024-08-04,Bangalore,10,9,0,1290.71,6.75,129.07
2025-08-27,Chennai,8,7,0,1124.42,9.07,140.55
2024-09-21,Chennai,12,11,0,1265.17,5.99,105.43
2025-09-26,Delhi,9,6,0,523.6,5.82,58.18
2024-09-25,Mumbai,10,8,0,1090.53,7.81,109.05
2024-05-15,Delhi,7,6,0,399.58,5.05,57.08
2024-05-15,Bangalore,8,8,0,1201.86,8.37,150.23
2024-08-06,Hyderabad,6,4,0,355.41,4.23,59.24
2023-04-07,Delhi,11,6,0,526.2,4.78,47.84
2023-11-24,Chennai,7,7,0,891.19,8.01,127.31
2023-11-07,Mumbai,7,3,0,244.86,2.48,34.98
2024-05-12,Hyderabad,8,5,0,293.19,2.79,36.65
2025-03-03,Mumbai,13,10,0,1387.2,7.68,106.71
2023-11-18,Chennai,9,9,0,1120.33,7.87,124.48
2025-10-14,Mumbai,10,6,0,658.5,4.85,65.85
2023-09-26,Delhi,6,3,0,339.43,4.35,56.57
2025-12-14,Hyderabad,7,6,0,632.99,6.93,90.43
2025-07-01,Hyderabad,11,10,0,1105.5,7.97,100.5
2023-05-05,Bangalore,11,9,0,1487.42,7.07,135.22
2025-12-01,Chennai,13,12,0,1401.71,6.71,107.82
2024-09-20,Mumbai,10,4,0,258.45,1.72,25.85
2025-04-24,Bangalore,7,6,0,825.74,6.06,117.96
2023-06-09,Bangalore,7,7,0,1064.63,7.96,152.09
2024-04-05,Hyderabad,17,10,0,1137.74,5.49,66.93
2024-02-08,Delhi,8,5,0,487.89,5.38,60.99
2025-06-30,Hyderabad,9,7,0,625.16,5.26,69.46
2024-01-22,Delhi,10,9,0,703.1,7.03,70.31
2025-04-26,Mumbai,9,6,0,633.78,5.29,70.42
2024-07-30,Delhi,6,4,0,488.68,7.59,81.45
2025-02-25,Hyderabad,11,10,0,987.22,6.57,89.75
2023-11-12,Hyderabad,9,8,0,791.32,6.61,87.92
2024-06-15,Delhi,8,4,0,365.9,4.57,45.74
2023-10-10,Delhi,9,4,0,127.48,1.34,14.16
2023-06-21,Bangalore,8,7,0,1247.8,7.8,155.98
2025-08-20,Hyderabad,9,7,0,846.89,7.53,94.1
2024-07-03,Bangalore,9,9,0,1124.99,6.85,125.0
2025-12-05,Bangalore,6,4,0,810.8,6.76,135.13
2025-11-10,Hyderabad,11,10,0,1184.31,8.16,107.66
2023-08-29,Mumbai,11,8,0,1113.15,6.75,101.2
2024-04-22,Chennai,13,12,0,1294.53,5.74,99.58
2024-04-21,Delhi,10,3,0,284.56,2.43,28.46
2025-07-04,Hyderabad,8,6,0,602.01,6.28,75.25
2024-09-09,Mumbai,9,3,0,122.88,0.97,13.65
2024-08-26,Delhi,8,4,0,322.4,4.03,40.3
2025-05-21,Chennai,9,9,0,1191.87,7.71,132.43
2025-04-04,Mumbai,9,4,0,404.61,3.6,44.96
2024-08-08,Mumbai,5,3,0,208.41,3.17,41.68
2024-06-16,Chennai,9,8,0,967.25,7.2,107.47
2023-09-19,Mumbai,10,7,0,825.3,6.16,82.53
2024-01-26,Chennai,11,11,0,1159.76,6.72,105.43
2024-04-14,Chennai,8,7,0,988.38,6.95,123.55
2025-04-24,Mumbai,13,10,0,1123.65,5.83,86.43
2025-06-13,Mumbai,6,6,0,700.05,8.54,116.68
2023-03-22,Bangalore,9,9,0,1106.91,7.39,122.99
2023-08-20,Hyderabad,10,7,0,700.55,5.61,70.06
2025-12-28,Delhi,7,3,0,191.2,2.73,27.31
2023-10-21,Mumbai,14,10,0,966.57,5.46,69.04
2024-12-19,Hyderabad,9,9,0,801.1,7.0,89.01
2025-05-16,Bangalore,9,8,0,1123.64,6.61,124.85
2024-01-21,Chennai,7,7,0,660.3,5.6,94.33
2025-09-01,Delhi,8,5,0,440.8,5.51,55.1
2025-07-25,Chennai,7,7,0,1338.32,11.15,191.19
2025-11-04,Hyderabad,8,5,0,499.66,5.35,62.46
2025-05-23,Delhi,6,1,0,35.4,0.59,5.9
2024-12-31,Mumbai,14,12,0,1067.64,5.54,76.26
2023-10-29,Bangalore,5,4,0,550.04,6.31,110.01
2024-12-30,Delhi,8,5,0,228.92,2.79,28.62
2024-07-27,Chennai,11,11,0,1693.06,8.91,153.91
2025-08-03,Bangalore,12,11,0,1719.5,7.9,143.29
2025-05-31,Bangalore,5,4,0,460.25,5.1,92.05
2023-09-28,Chennai,12,11,0,1322.96,6.83,110.25
2025-03-20,Mumbai,7,5,0,458.31,4.65,65.47
2024-02-08,Bangalore,11,11,0,1916.4,9.2,174.22
2025-09-23,Bangalore,14,13,0,2058.21,7.68,147.02
2024-10-16,Delhi,7,5,0,328.8,4.7,46.97
2025-05-23,Hyderabad,8,7,0,689.26,6.98,86.16
2024-11-20,Hyderabad,9,7,0,839.32,7.44,93.26
2024-02-02,Delhi,10,6,0,481.1,4.81,48.11
2025-01-20,Delhi,10,10,0,971.6,9.4,97.16
2023-10-12,Chennai,10,6,0,726.42,4.38,72.64
2023-10-23,Hyderabad,12,6,0,770.5,4.52,64.21
2024-04-12,Chennai,8,6,0,639.94,4.52,79.99
2023-09-01,Delhi,9,5,0,308.7,3.43,34.3
2025-02-24,Mumbai,7,4,0,379.17,3.93,54.17
2024-09-28,Delhi,17,13,0,939.86,5.3,55.29
2025-04-25,Delhi,10,5,0,374.1,3.74,37.41
2024-12-09,Bangalore,6,5,0,842.25,8.07,140.38
2025-12-24,Delhi,7,5,0,453.1,6.47,64.73
2024-03-02,Hyderabad,6,4,0,277.47,3.76,46.25
2024-07-02,Bangalore,7,7,0,1358.6,9.7,194.09
2025-06-14,Mumbai,10,8,0,968.55,7.32,96.86
2025-01-27,Delhi,12,8,0,713.13,5.87,59.43
2026-01-03,Bangalore,10,10,0,1344.21,7.11,134.42
2024-06-06,Hyderabad,4,2,0,148.59,2.71,37.15
2025-11-09,Chennai,10,10,0,1402.94,8.84,140.29
2025-07-30,Chennai,7,6,0,712.32,6.05,101.76
2024-07-05,Delhi,14,8,0,625.81,4.25,44.7
2025-06-12,Mumbai,6,4,0,385.23,4.81,64.21
2023-10-10,Hyderabad,10,10,0,979.05,7.9,97.91
2023-12-28,Bangalore,6,6,0,818.77,7.14,136.46
2024-10-17,Chennai,13,11,0,974.05,4.73,74.93
2024-11-18,Chennai,8,8,0,1346.52,9.06,168.32
2024-05-26,Delhi,5,5,0,418.9,8.38,83.78
2025-11-25,Delhi,4,2,0,88.6,2.22,22.15
2024-10-15,Chennai,12,9,0,1052.72,5.28,87.73
2025-12-10,Bangalore,5,4,0,530.91,5.46,106.18
2024-11-09,Chennai,7,7,0,1013.82,9.2,144.83
2025-05-08,Chennai,11,10,0,1145.37,6.81,104.12
2024-10-18,Bangalore,7,7,0,765.39,6.28,109.34
2024-10-23,Bangalore,15,12,0,2101.23,7.28,140.08
2026-01-12,Hyderabad,11,8,0,723.49,5.29,65.77
2023-06-29,Bangalore,13,12,0,1732.87,6.88,133.3
2025-07-05,Delhi,13,10,0,1003.21,7.02,77.17
2024-10-01,Hyderabad,10,9,0,990.74,7.53,99.07
2023-08-11,Hyderabad,6,6,0,781.41,8.98,130.24
2023-11-25,Chennai,12,12,0,1441.76,7.3,120.15
2023-01-27,Delhi,7,5,0,409.43,5.49,58.49
2025-01-04,Mumbai,10,8,0,749.43,5.79,74.94
2024-09-24,Chennai,11,8,0,1217.85,6.98,110.71
2023-07-09,Hyderabad,10,6,0,494.88,4.1,49.49
2024-12-18,Mumbai,8,6,0,717.12,6.91,89.64
2023-09-12,Delhi,8,7,0,523.55,5.87,65.44
2023-09-04,Delhi,14,10,0,948.61,6.38,67.76
2023-02-20,Hyderabad,8,8,0,757.12,7.89,94.64
2025-01-23,Bangalore,12,12,0,1618.81,7.37,134.9
2023-01-02,Bangalore,5,4,0,517.94,5.5,103.59
2024-05-18,Delhi,15,11,0,990.53,6.34,66.04
2023-01-07,Bangalore,11,9,0,940.7,4.47,85.52
2023-07-16,Hyderabad,9,9,0,1268.94,9.94,140.99
2025-01-08,Delhi,11,7,0,390.3,3.55,35.48
2024-08-25,Mumbai,11,6,0,708.75,5.18,64.43
2023-09-28,Hyderabad,13,9,0,966.37,5.66,74.34
2024-07-16,Bangalore,10,8,0,1255.29,6.78,125.53
2025-09-10,Bangalore,9,9,0,1273.8,7.26,141.53
2024-02-18,Hyderabad,8,6,0,779.11,6.95,97.39
2023-09-14,Chennai,14,13,0,1650.84,6.8,117.92
2024-02-21,Delhi,6,5,0,338.85,5.03,56.48
2025-03-24,Delhi,10,8,0,833.04,7.96,83.3
2025-08-11,Hyderabad,15,11,0,1200.25,6.06,80.02
2025-04-08,Bangalore,12,9,0,1150.9,4.93,95.91
2023-03-06,Bangalore,13,13,0,2059.0,8.47,158.38
2023-02-05,Hyderabad,9,6,0,569.36,4.9,63.26
2025-01-09,Hyderabad,12,10,0,1165.72,8.01,97.14
2025-05-07,Delhi,6,4,0,242.1,4.04,40.35
2023-01-20,Hyderabad,12,8,0,958.08,6.38,79.84
2023-12-14,Mumbai,9,6,0,580.53,4.65,64.5
2025-05-31,Mumbai,8,6,0,595.98,5.54,74.5
2023-07-06,Chennai,7,6,0,849.98,7.24,121.43
2023-07-18,Bangalore,7,7,0,870.91,6.61,124.42
2023-10-23,Delhi,10,8,0,688.37,6.4,68.84
2025-08-06,Hyderabad,13,9,0,987.99,6.11,76.0
2023-01-05,Delhi,15,8,0,738.4,4.92,49.23
2024-04-27,Hyderabad,12,10,0,801.67,5.62,66.81
2024-06-14,Mumbai,8,6,0,875.73,7.51,109.47
2024-10-28,Delhi,9,6,0,552.27,5.84,61.36
2025-07-17,Mumbai,11,8,0,972.36,6.63,88.4
2025-01-14,Chennai,12,11,0,1447.34,7.47,120.61
2024-12-10,Delhi,10,3,0,234.8,2.35,23.48
2023-12-13,Hyderabad,11,8,0,1268.73,8.21,115.34
2025-01-13,Bangalore,14,13,0,1529.58,5.87,109.26
2025-04-29,Delhi,7,4,0,343.66,4.52,49.09
2025-02-23,Bangalore,9,7,0,969.79,5.87,107.75
2024-12-14,Delhi,8,5,0,412.0,5.15,51.5
2023-07-13,Delhi,6,4,0,310.87,4.94,51.81
2023-04-03,Bangalore,9,8,0,1023.94,5.83,113.77
2025-10-24,Chennai,11,11,0,1184.45,6.74,107.68
2025-01-20,Chennai,9,8,0,1233.68,7.92,137.08
2024-05-12,Bangalore,9,8,0,1557.63,9.1,173.07
2025-02-13,Hyderabad,5,5,0,466.11,7.35,93.22
2024-11-18,Delhi,6,4,0,237.3,3.96,39.55
2025-06-15,Chennai,13,12,0,1392.75,6.57,107.13
2024-01-20,Bangalore,8,6,0,1270.6,8.51,158.83
2025-08-23,Bangalore,14,14,0,2038.41,7.58,145.6
2025-03-19,Mumbai,13,8,0,764.64,4.48,58.82
2024-09-11,Delhi,8,5,0,327.1,4.09,40.89
2024-03-06,Mumbai,16,7,0,774.93,3.66,48.43
2024-06-10,Delhi,10,6,0,564.39,5.4,56.44
2024-07-10,Hyderabad,6,5,0,371.88,4.98,61.98
2023-11-10,Delhi,13,11,0,903.27,6.61,69.48
2023-08-26,Mumbai,10,7,0,1043.07,7.46,104.31
2025-11-24,Mumbai,10,9,0,1083.42,7.72,108.34
2025-05-25,Hyderabad,8,4,0,425.01,4.48,53.13
